created_at,entry_id,temperature,humidity,moisture,field4
2020-09-10 23:30:56 WIB,3761,27.2,90.6,105,2206.42
2020-09-10 23:31:12 WIB,3762, NAN, NAN,93,2306.42
2020-09-10 23:31:28 WIB,3763,27.1,91.1,119,2347.95
2020-09-10 23:31:45 WIB,3764,27,90.7,108,2452
2020-09-10 23:32:01 WIB,3765,27,90.8,115,2279.26
2020-09-10 23:32:17 WIB,3766,26.9,90.9,127,2293
2020-09-10 23:32:34 WIB,3767,26.9,91.1,127,2295.37
2020-09-10 23:32:50 WIB,3768,26.8,91.8,142,2292.63
2020-09-10 23:33:06 WIB,3769,26.8,91.5,131,2248
2020-09-10 23:33:23 WIB,3770, NAN, NAN,111,2246.42
2020-09-10 23:33:39 WIB,3771,26.7,91.7,132,2240.21
2020-09-10 23:33:55 WIB,3772,26.7,91.6,117,2234.58
2020-09-10 23:34:11 WIB,3773,26.7,91.7,138,2236.37
2020-09-10 23:34:27 WIB,3774,26.7,91.7,99,2248
2020-09-10 23:34:43 WIB,3775,26.6,91.9,125,2224.21
2020-09-10 23:35:00 WIB,3776,26.6,92.1,87,2213.95
2020-09-10 23:35:16 WIB,3777,26.6,91.9,134,2170.32
2020-09-10 23:35:33 WIB,3778, NAN, NAN,128,2150.68
2020-09-10 23:35:49 WIB,3779,26.5,92.1,120,2139.74
2020-09-10 23:36:06 WIB,3780,26.6,92.1,127,2130
2020-09-10 23:36:22 WIB,3781,26.6,92.3,110,2126.47
2020-09-10 23:36:38 WIB,3782,26.5,92.4,125,2129
2020-09-10 23:36:54 WIB,3783, NAN, NAN,130,2134.11
2020-09-10 23:37:10 WIB,3784, NAN, NAN,130,2132.32
2020-09-10 23:37:27 WIB,3785,26.5,92.1,119,2124.84
2020-09-10 23:37:43 WIB,3786,26.6,92.8,137,2119.26
2020-09-10 23:37:59 WIB,3787,26.5,92.4,127,2116.89
2020-09-10 23:38:15 WIB,3788,26.5,92.3,137,2108.74
2020-09-10 23:38:31 WIB,3789,26.5,92.9,134,2112.68
2020-09-10 23:38:47 WIB,3790,26.5,92.9,130,2107.16
2020-09-10 23:39:03 WIB,3791,26.5,92.5,113,2099.47
2020-09-10 23:39:19 WIB,3792,26.6,92.6,125,2093.95
2020-09-10 23:39:36 WIB,3793,26.5,92.5,120,2091
2020-09-10 23:39:52 WIB,3794,26.6,92.4,127,2087.79
2020-09-10 23:40:08 WIB,3795, NAN, NAN,124,2083.37
2020-09-10 23:40:25 WIB,3796,26.6,92.6,117,2080.47
2020-09-10 23:40:41 WIB,3797,26.6,92.5,111,2074.16
2020-09-10 23:40:58 WIB,3798,26.6,92.5,123,2066.95
2020-09-10 23:41:14 WIB,3799,26.6,92.5,147,2058.26
2020-09-10 23:41:30 WIB,3800,26.6,92.5,122,2057.11
2020-09-10 23:41:46 WIB,3801,26.6,92.6,104,2055.95
2020-09-10 23:42:02 WIB,3802,26.6,92.6,128,2051.63
2020-09-10 23:42:18 WIB,3803,26.6,92.6,124,2048.16
2020-09-10 23:42:34 WIB,3804,26.6,93.2,148,2050.05
2020-09-10 23:42:51 WIB,3805,26.7,93.1,120,2054.63
2020-09-10 23:43:07 WIB,3806,26.7,92.7,131,2053.05
2020-09-10 23:43:24 WIB,3807,26.6,92.7,154,2047.68
2020-09-10 23:43:40 WIB,3808,26.7,92.8,114,2044.68
2020-09-10 23:43:56 WIB,3809,26.6,92.7,124,2038.84
2020-09-10 23:44:13 WIB,3810,26.7,93.3,117,2034
2020-09-10 23:44:29 WIB,3811,26.7,92.8,104,2034.53
2020-09-10 23:44:45 WIB,3812,26.7,92.8,124,2037
2020-09-10 23:45:01 WIB,3813, NAN, NAN,118,2037.95
2020-09-10 23:45:17 WIB,3814,26.7,92.8,136,2034.58
