created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2020-08-15 13:26:32 WIB,1,31.00,66.40,68,,,,,
2020-08-15 13:26:48 WIB,2,31.00,66.50,60,,,,,
2020-08-15 13:27:03 WIB,3,31.10,66.40,72,,,,,
2020-08-15 13:27:18 WIB,4,31.10,66.50,75,,,,,
2020-08-15 13:27:34 WIB,5,31.20,67.00,64,,,,,
2020-08-15 13:27:50 WIB,6,31.20,67.10,88,,,,,
2020-08-15 13:28:05 WIB,7,31.10,67.00,64,,,,,
2020-08-15 13:31:10 WIB,8,32.20,61.50,165,,,,,
2020-08-15 13:31:26 WIB,9,32.40,62.70,187,,,,,
2020-08-15 13:31:42 WIB,10,32.40,62.20,164,,,,,
2020-08-15 13:31:58 WIB,11,32.50,62.40,150,,,,,
2020-08-15 13:32:14 WIB,12,32.50,62.20,135,,,,,
2020-08-15 13:32:31 WIB,13,32.60,61.50,201,,,,,
2020-08-15 13:32:47 WIB,14,32.60,61.20,146,,,,,
2020-08-15 13:33:02 WIB,15,32.70,61.30,160,,,,,
2020-08-15 13:33:18 WIB,16,32.80,61.50,151,,,,,
2020-08-15 13:33:33 WIB,17,32.80,61.70,200,,,,,
2020-08-15 13:33:48 WIB,18,32.90,61.70,203,,,,,
2020-08-15 13:34:04 WIB,19,33.00,61.60,155,,,,,
2020-08-15 13:34:21 WIB,20,33.00,60.40,190,,,,,
2020-08-15 13:34:36 WIB,21,32.90,60.80,145,,,,,
2020-08-15 13:34:51 WIB,22,32.90,60.40,147,,,,,
2020-08-15 13:35:06 WIB,23,32.90,60.70,203,,,,,
2020-08-15 13:35:23 WIB,24,33.00,60.90,146,,,,,
2020-08-15 13:35:39 WIB,25,33.00,60.40,189,,,,,
2020-08-15 13:35:54 WIB,26,33.10,60.60,158,,,,,
2020-08-15 13:36:10 WIB,27,33.10,59.70,193,,,,,
2020-08-15 13:36:25 WIB,28,33.00,59.80,166,,,,,
2020-08-15 13:36:41 WIB,29,33.00,59.70,185,,,,,
2020-08-15 13:36:56 WIB,30,33.00,60.30,172,,,,,
2020-08-15 13:37:12 WIB,31,33.00,60.10,137,,,,,
2020-08-15 13:37:27 WIB,32,33.00,59.90,201,,,,,
2020-08-15 13:37:43 WIB,33,33.10,59.90,194,,,,,
2020-08-15 13:37:58 WIB,34,33.00,60.00,195,,,,,
